order_item_key,order_item_id,order_key,product_key,time_key,product_name,product_sku,shop_sku,variation,quantity,item_price,total_item_price,paid_price,item_voucher_discount,shipping_amount,tax_amount,item_status,cancellation_reason,tracking_code,warehouse_code,created_at,updated_at
,1030838093101077,,,20250910,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,385.9,9.1,0.0,0.0,canceled,Want to place a new order with more/different items,,dropshipping,2025-09-10 15:59:38+08:00,2025-09-10 16:06:50+08:00
,1038799954518564,,,20250910,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,395.0,0.0,0.0,0.0,confirmed,,MP1374654025,dropshipping,2025-09-10 16:04:18+08:00,2025-09-16 09:07:17+08:00
,1038828991276005,,,20250910,1 Liter L.A. Collections Fresh Bamboo Waterbased Scent for  Humidifiers/Diffusers/Linen Spray,3368572353-1738239695642-0,3368572353_PH-28661617725,,1,380.0,380.0,361.0,19.0,0.0,0.0,confirmed,,MP1374654026,dropshipping,2025-09-10 17:48:38+08:00,2025-09-13 13:52:35+08:00
,1038828991376005,,,20250910,1L Waterbased CITRONELLA Scent by LA Collections,4921156480-1738556579317-0,4921156480_PH-28672858926,,1,380.0,380.0,361.0,19.0,0.0,0.0,confirmed,,MP1374654026,dropshipping,2025-09-10 17:48:38+08:00,2025-09-13 13:52:35+08:00
,1030874680864643,,,20250910,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,375.25,19.75,0.0,0.0,confirmed,,MP1374654350,dropshipping,2025-09-10 18:29:49+08:00,2025-09-16 16:08:21+08:00
,1038904521221565,,,20250910,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,395.0,0.0,33.2,0.0,confirmed,,MP1374653973,dropshipping,2025-09-10 20:54:28+08:00,2025-09-19 13:28:31+08:00
,1038904521321565,,,20250910,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,395.0,0.0,33.2,0.0,confirmed,,MP1374653973,dropshipping,2025-09-10 20:54:28+08:00,2025-09-19 13:28:31+08:00
,1038904521421565,,,20250910,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,395.0,0.0,33.2,0.0,confirmed,,MP1374653973,dropshipping,2025-09-10 20:54:28+08:00,2025-09-19 13:28:31+08:00
,1038904521521565,,,20250910,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,395.0,0.0,33.2,0.0,confirmed,,MP1374653973,dropshipping,2025-09-10 20:54:28+08:00,2025-09-19 13:28:31+08:00
,1038904521621565,,,20250910,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,395.0,0.0,33.2,0.0,confirmed,,MP1374653973,dropshipping,2025-09-10 20:54:28+08:00,2025-09-19 13:28:31+08:00
