product_id,sku,product_name,shop_sku,product_main_sku,variation,category,brand,status,weight,dimensions,created_at,updated_at
PROD_1856947959-1748396661641-0,1856947959-1748396661641-0,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959_PH-30097934851,,,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_3368572353-1738239695642-0,3368572353-1738239695642-0,1 Liter L.A. Collections Fresh Bamboo Waterbased Scent for  Humidifiers/Diffusers/Linen Spray,3368572353_PH-28661617725,,,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_4921156480-1738556579317-0,4921156480-1738556579317-0,1L Waterbased CITRONELLA Scent by LA Collections,4921156480_PH-28672858926,,,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_4896157465-1736809929399-0,4896157465-1736809929399-0,1L Waterbased Humidifier Scent,4896157465_PH-28517434716,,Scent:Shangrila,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_3583313195-1676440088441-0,3583313195-1676440088441-0,Melon Cucumber Waterbased Humidifier &  Diffuser Scent by LA Collections,3583313195_PH-18525646548,,,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_4337079607-1707399140728-0,4337079607-1707399140728-0,1 GALLON Humidifier / Diffuser Scent by L.A. Collections,4337079607_PH-24334600882,,Scent:Shangrila,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_LAV,LAV,L.A. Collections Lavender Humidifer / Diffuser / Linen Spray,3464151195_PH-17808092447,,,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_1857030628-1617524196393-0,1857030628-1617524196393-0,1 LITER L.A. COLLECTIONS OKADA Hotel Diffuser Scent/ Linen Spray/ Room spray,1857030628_PH-7870989083,,,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_4726844228-1729943500336-0,4726844228-1729943500336-0,Rattan Sticks for Reed Diffusers (5PCS),4726844228_PH-27339128266,,Color family:Brown,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_WT,WT,1 Liter Waterbased White Tea Scent for Humidifier and Diffuser,4435102730_PH-25090520619,,,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_1856986844-1617524415466-0,1856986844-1617524415466-0,LA COLLECTIONS MARRIOTT Hotel Waterbased Diffuser Scent,1856986844_PH-7871040075,,"Volume (ml):1000, Scent:marriott",Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_3727967121-1681442263070-6,3727967121-1681442263070-6,LA Collections Pure Oil Reed Diffuser,3727967121_PH-19653362639,,"Variation3:Green Tea, Variation1:50mL",Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_4726844228-1729943500336-1,4726844228-1729943500336-1,Rattan Sticks for Reed Diffusers (5PCS),4726844228_PH-27339128267,,Color family:Black,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_3727967121-1681442263070-10,3727967121-1681442263070-10,LA Collections Pure Oil Reed Diffuser,3727967121_PH-19653362643,,"Variation3:Fresh Bamboo, Variation1:50mL",Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_3727967121-1681442263070-4,3727967121-1681442263070-4,LA Collections Pure Oil Reed Diffuser,3727967121_PH-19653362637,,"Variation3:Solaire, Variation1:50mL",Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
