usage_key,voucher_key,order_key,customer_key,time_key,voucher_code,discount_amount,order_value_before_discount,order_value_after_discount,usage_date,customer_segment_at_usage,first_time_customer,created_at
,,,,20250922,,62.0,602.0,540.0,2025-09-22 09:49:24+08:00,unknown,False,2025-09-22 09:49:24+08:00
,,,,20250922,,22.0,1416.0,1394.0,2025-09-22 10:29:05+08:00,unknown,False,2025-09-22 10:29:05+08:00
,,,,20250922,,98.8,478.8,380.0,2025-09-22 12:45:17+08:00,unknown,False,2025-09-22 12:45:17+08:00
,,,,20250922,,49.75,444.75,395.0,2025-09-22 16:22:20+08:00,unknown,False,2025-09-22 16:22:20+08:00
,,,,20250922,,4.7,399.7,395.0,2025-09-22 17:32:38+08:00,unknown,False,2025-09-22 17:32:38+08:00
,,,,20250922,,83.0,843.0,760.0,2025-09-22 18:57:52+08:00,unknown,False,2025-09-22 18:57:52+08:00
,,,,20250922,,55.83,630.83,575.0,2025-09-22 21:16:38+08:00,unknown,False,2025-09-22 21:16:38+08:00
,,,,20250922,,19.0,399.0,380.0,2025-09-22 23:35:41+08:00,unknown,False,2025-09-22 23:35:41+08:00
,,,,20250923,,42.34,402.34000000000003,360.0,2025-09-23 09:52:45+08:00,unknown,False,2025-09-23 09:52:45+08:00
,,,,20250923,,3.0,63.0,60.0,2025-09-23 14:15:12+08:00,unknown,False,2025-09-23 14:15:12+08:00
,,,,20250923,,42.22,437.22,395.0,2025-09-23 22:41:10+08:00,unknown,False,2025-09-23 22:41:10+08:00
,,,,20250924,,19.75,414.75,395.0,2025-09-24 11:38:10+08:00,unknown,False,2025-09-24 11:38:10+08:00
,,,,20250924,,36.88,431.88,395.0,2025-09-24 11:41:51+08:00,unknown,False,2025-09-24 11:41:51+08:00
,,,,20250924,,33.5,428.5,395.0,2025-09-24 19:20:34+08:00,unknown,False,2025-09-24 19:20:34+08:00
,,,,20250924,,19.75,414.75,395.0,2025-09-24 23:11:46+08:00,unknown,False,2025-09-24 23:11:46+08:00
,,,,20250925,,39.5,829.5,790.0,2025-09-25 11:33:22+08:00,unknown,False,2025-09-25 11:33:22+08:00
,,,,20250925,,2.16,397.16,395.0,2025-09-25 15:20:23+08:00,unknown,False,2025-09-25 15:20:23+08:00
,,,,20250925,,19.75,414.75,395.0,2025-09-25 22:25:55+08:00,unknown,False,2025-09-25 22:25:55+08:00
,,,,20250926,,17.5,367.5,350.0,2025-09-26 08:40:32+08:00,unknown,False,2025-09-26 08:40:32+08:00
,,,,20250926,,34.75,429.75,395.0,2025-09-26 09:40:26+08:00,unknown,False,2025-09-26 09:40:26+08:00
,,,,20250926,,97.21,827.21,730.0,2025-09-26 09:44:58+08:00,unknown,False,2025-09-26 09:44:58+08:00
,,,,20250926,,157.45,552.45,395.0,2025-09-26 23:41:35+08:00,unknown,False,2025-09-26 23:41:35+08:00
,,,,20250927,,19.75,414.75,395.0,2025-09-27 09:55:13+08:00,unknown,False,2025-09-27 09:55:13+08:00
,,,,20250927,,52.6,447.6,395.0,2025-09-27 11:59:16+08:00,unknown,False,2025-09-27 11:59:16+08:00
,,,,20250927,,19.75,414.75,395.0,2025-09-27 12:13:48+08:00,unknown,False,2025-09-27 12:13:48+08:00
,,,,20250927,,131.12,1316.12,1185.0,2025-09-27 16:40:59+08:00,unknown,False,2025-09-27 16:40:59+08:00
,,,,20250927,,19.75,414.75,395.0,2025-09-27 18:17:04+08:00,unknown,False,2025-09-27 18:17:04+08:00
,,,,20250927,,19.75,414.75,395.0,2025-09-27 19:32:32+08:00,unknown,False,2025-09-27 19:32:32+08:00
,,,,20250928,,122.45,517.45,395.0,2025-09-28 08:28:21+08:00,unknown,False,2025-09-28 08:28:21+08:00
,,,,20250928,,18.0,378.0,360.0,2025-09-28 09:02:16+08:00,unknown,False,2025-09-28 09:02:16+08:00
,,,,20250928,,19.0,399.0,380.0,2025-09-28 12:04:10+08:00,unknown,False,2025-09-28 12:04:10+08:00
,,,,20250928,,19.75,414.75,395.0,2025-09-28 18:47:42+08:00,unknown,False,2025-09-28 18:47:42+08:00
,,,,20250928,,36.2,781.2,745.0,2025-09-28 22:46:49+08:00,unknown,False,2025-09-28 22:46:49+08:00
,,,,20250929,,19.75,414.75,395.0,2025-09-29 05:17:47+08:00,unknown,False,2025-09-29 05:17:47+08:00
,,,,20250929,,40.0,1084.0,1044.0,2025-09-29 06:56:32+08:00,unknown,False,2025-09-29 06:56:32+08:00
,,,,20250929,,130.35,525.35,395.0,2025-09-29 10:03:30+08:00,unknown,False,2025-09-29 10:03:30+08:00
,,,,20250929,,38.75,813.75,775.0,2025-09-29 10:44:34+08:00,unknown,False,2025-09-29 10:44:34+08:00
,,,,20250929,,19.75,414.75,395.0,2025-09-29 12:19:23+08:00,unknown,False,2025-09-29 12:19:23+08:00
,,,,20250929,,63.95,458.95,395.0,2025-09-29 14:46:24+08:00,unknown,False,2025-09-29 14:46:24+08:00
,,,,20250929,,19.75,414.75,395.0,2025-09-29 16:26:45+08:00,unknown,False,2025-09-29 16:26:45+08:00
,,,,20250929,,19.0,399.0,380.0,2025-09-29 21:26:40+08:00,unknown,False,2025-09-29 21:26:40+08:00
,,,,20250930,,15.6,365.6,350.0,2025-09-30 10:00:34+08:00,unknown,False,2025-09-30 10:00:34+08:00
,,,,20250930,,19.75,414.75,395.0,2025-09-30 10:01:57+08:00,unknown,False,2025-09-30 10:01:57+08:00
,,,,20250930,,130.35,525.35,395.0,2025-09-30 19:15:31+08:00,unknown,False,2025-09-30 19:15:31+08:00
,,,,20250930,,42.2,437.2,395.0,2025-09-30 23:58:47+08:00,unknown,False,2025-09-30 23:58:47+08:00
,,,,20251001,,28.81,423.81,395.0,2025-10-01 09:09:15+08:00,unknown,False,2025-10-01 09:09:15+08:00
,,,,20251001,,19.75,414.75,395.0,2025-10-01 12:36:21+08:00,unknown,False,2025-10-01 12:36:21+08:00
,,,,20251001,,30.0,1310.0,1280.0,2025-10-01 13:35:18+08:00,unknown,False,2025-10-01 13:35:18+08:00
,,,,20251001,,49.53,444.53,395.0,2025-10-01 23:38:19+08:00,unknown,False,2025-10-01 23:38:19+08:00
,,,,20251002,,34.75,429.75,395.0,2025-10-02 03:10:18+08:00,unknown,False,2025-10-02 03:10:18+08:00
,,,,20251002,,30.26,425.26,395.0,2025-10-02 11:59:15+08:00,unknown,False,2025-10-02 11:59:15+08:00
,,,,20251002,,82.04,1267.04,1185.0,2025-10-02 15:26:50+08:00,unknown,False,2025-10-02 15:26:50+08:00
,,,,20251002,,29.75,424.75,395.0,2025-10-02 18:24:37+08:00,unknown,False,2025-10-02 18:24:37+08:00
,,,,20251002,,19.75,414.75,395.0,2025-10-02 22:42:07+08:00,unknown,False,2025-10-02 22:42:07+08:00
,,,,20251003,,19.75,414.75,395.0,2025-10-03 11:32:20+08:00,unknown,False,2025-10-03 11:32:20+08:00
,,,,20251003,,19.0,399.0,380.0,2025-10-03 20:00:31+08:00,unknown,False,2025-10-03 20:00:31+08:00
,,,,20251003,,350.5,3360.5,3010.0,2025-10-03 22:51:41+08:00,unknown,False,2025-10-03 22:51:41+08:00
,,,,20251003,,19.75,414.75,395.0,2025-10-03 23:36:22+08:00,unknown,False,2025-10-03 23:36:22+08:00
,,,,20251004,,19.75,414.75,395.0,2025-10-04 09:50:11+08:00,unknown,False,2025-10-04 09:50:11+08:00
