ds,daily_items_sold,daily_gross_revenue,avg_discount_rate_daily,is_mega_sale_day,is_payday,platform_name,scaled_discount_rate,is_weekend,lag_1_items_sold,lag_7_items_sold,lag_14_items_sold,lag_30_items_sold,lag_60_items_sold,rolling_7_items_sold,rolling_14_items_sold,daily_revenue_growth_smoothed,daily_growth_rate,scaled_discount_on_event,fourier_month_fourier_1,fourier_month_fourier_2,fourier_month_fourier_3,fourier_month_fourier_4,fourier_month_fourier_5,fourier_month_fourier_6,fourier_month_fourier_7,fourier_month_fourier_8
2020-09-19,1.0,265.0,0.0,0,0,Shopee,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2020-09-20,0.0,0.0,0.0,0,0,Shopee,0.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,0.2045520661262008,0.9788556850953578,0.40045390565126643,0.9163169044870048,0.5794210982045637,0.8150283375168114,0.733885366432199,0.6792733388972931
2020-09-21,0.0,0.0,0.0,0,0,Shopee,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-1.0,0.0,0.0,0.40045390565126643,0.9163169044870048,0.733885366432199,0.6792733388972931,0.9444892287836613,0.32854238191083485,0.9970175264485267,-0.07717546212664618
2020-09-22,0.0,0.0,0.0,0,0,Shopee,0.0,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,-1.0,0.0,0.0,0.5794210982045637,0.8150283375168114,0.9444892287836613,0.32854238191083485,0.9601498736716018,-0.2794856348516094,0.620609481827423,-0.7841198065767103
2020-09-23,0.0,0.0,0.0,0,0,Shopee,0.0,0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,-1.0,0.0,0.0,0.733885366432199,0.6792733388972931,0.9970175264485267,-0.07717546212664618,0.620609481827423,-0.7841198065767103,-0.15389057670406148,-0.9880878960910772
2020-09-24,0.0,0.0,0.0,0,0,Shopee,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,-1.0,0.0,0.0,0.8573146280763323,0.5147928015098308,0.8826787983255474,-0.46997674302732007,0.05147875477034673,-0.9986740898848305,-0.8296770135526189,-0.5582437220268648
2020-09-25,0.0,0.0,0.0,0,0,Shopee,0.0,0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,-1.0,0.0,0.0,0.9444892287836613,0.32854238191083485,0.620609481827423,-0.7841198065767103,-0.5366961939916003,-0.8437755598231858,-0.9732643737003827,0.22968774213179508
2020-09-26,0.0,0.0,0.0,0,0,Shopee,0.0,1,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,-1.0,0.0,0.0,0.9917226741361015,0.12839835514655099,0.2546711202412288,-0.9670277247913204,-0.9263239682514951,-0.3767278936351848,-0.4925480679538645,0.8702852410301551
2020-09-27,0.0,0.0,0.0,0,0,Shopee,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.9970175264485267,-0.07717546212664618,-0.15389057670406148,-0.9880878960910772,-0.9732643737003827,0.22968774213179508,0.30411483232751724,0.9526353808033827
2020-09-28,0.0,0.0,0.0,0,0,Shopee,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.9601498736716018,-0.2794856348516094,-0.5366961939916003,-0.8437755598231858,-0.6601521206712321,0.7511319308705195,0.9057022630804713,0.423914390709861
2020-09-29,0.0,0.0,0.0,0,0,Shopee,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.8826787983255474,-0.46997674302732007,-0.8296770135526189,-0.5582437220268648,-0.1028209971373608,0.9946998756145891,0.926323968251495,-0.37672789363518516
2020-09-30,0.0,0.0,0.0,0,0,Shopee,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.7678804460366001,-0.6405931786981751,-0.9837979515735163,-0.1792807588107359,0.4925480679538641,0.8702852410301554,0.35275208654909523,-0.9357168190404935
2020-10-01,0.0,0.0,0.0,0,0,Shopee,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.620609481827423,-0.7841198065767103,-0.9732643737003827,0.22968774213179508,0.9057022630804713,0.423914390709861,-0.44709379298511304,-0.894487082228796
2020-10-02,0.0,0.0,0.0,0,0,Shopee,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.44709379298511387,-0.8944870822287956,-0.7998392447397193,0.6002142805483683,0.9837979515735163,-0.1792807588107354,-0.9601498736716019,-0.2794856348516092
2020-10-03,0.0,0.0,0.0,0,0,Shopee,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.2546711202412288,-0.9670277247913204,-0.4925480679538645,0.8702852410301551,0.6979441547663431,-0.7161521883143938,-0.8573146280763324,0.5147928015098305
2020-10-04,1.0,230.0,0.0,0,0,Shopee,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05147875477034673,-0.9986740898848305,-0.1028209971373608,0.9946998756145891,0.15389057670406195,-0.9880878960910772,-0.2045520661262016,0.9788556850953577
2020-10-05,1.0,230.0,0.0,0,0,Shopee,0.0,0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,-0.15389057670406148,-0.9880878960910772,0.30411483232751724,0.9526353808033827,-0.44709379298511304,-0.894487082228796,0.5794210982045626,0.8150283375168121
2020-10-06,2.0,460.0,0.0,0,0,Shopee,0.0,0,1.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.5,1.0,0.0,-0.35275208654909473,-0.9357168190404936,0.6601521206712317,0.7511319308705199,-0.8826787983255474,-0.4699767430273201,0.9917226741361015,0.128398355146551
2020-10-07,2.0,460.0,0.0,0,0,Shopee,0.0,0,2.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.2857142857142857,0.3333333333333333,0.0,0.0,-0.5366961939916003,-0.8437755598231858,0.9057022630804713,0.423914390709861,-0.9917226741361016,0.12839835514655004,0.7678804460366004,-0.6405931786981747
2020-10-08,5.0,1150.0,0.0,0,0,Shopee,0.0,0,2.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.42857142857142855,0.625,1.5,0.0,-0.6979441547663433,-0.7161521883143935,0.999668467514313,0.025747913654989123,-0.7338853664322003,0.6792733388972918,0.05147875477034767,-0.9986740898848304
2020-10-09,0.0,0.0,0.0,0,0,Shopee,0.0,0,5.0,0.0,0.0,0.0,0.0,1.5714285714285714,0.7857142857142857,0.3,-1.0,0.0,-0.8296770135526189,-0.5582437220268648,0.926323968251495,-0.37672789363518516,-0.2045520661262016,0.9788556850953577,-0.6979441547663436,-0.7161521883143932
2020-10-10,1.0,230.0,0.0,1,0,Shopee,0.0,1,0.0,0.0,0.0,0.0,0.0,1.5714285714285714,0.7857142857142857,0.3,0.0,0.0,-0.9263239682514951,-0.3767278936351848,0.6979441547663431,-0.7161521883143938,0.4004539056512666,0.9163169044870046,-0.999668467514313,0.02574791365498992
2020-10-11,1.0,230.0,0.0,0,0,Shopee,0.0,1,1.0,1.0,0.0,0.0,0.0,1.7142857142857142,0.8571428571428571,0.25,0.0,0.0,-0.9837979515735163,-0.1792807588107359,0.35275208654909523,-0.9357168190404935,0.857314628076332,0.5147928015098313,-0.6601521206712324,0.7511319308705192
