ds,daily_items_sold,daily_gross_revenue,avg_discount_rate_daily,is_mega_sale_day,is_payday,platform_name,scaled_discount_rate,is_weekend,lag_1_items_sold,lag_7_items_sold,lag_14_items_sold,lag_30_items_sold,lag_60_items_sold,rolling_7_items_sold,rolling_14_items_sold,daily_revenue_growth_smoothed,daily_growth_rate,scaled_discount_on_event,fourier_month_fourier_1,fourier_month_fourier_2,fourier_month_fourier_3,fourier_month_fourier_4,fourier_month_fourier_5,fourier_month_fourier_6,fourier_month_fourier_7,fourier_month_fourier_8
2024-06-27,11.0,3740.43,0.0,0,0,Lazada,0.0,0,0.0,7.0,0.0,20.0,9.0,5.428571428571429,4.571428571428571,-0.8182340033614589,0.0,0.0,0.7998392447397056,0.6002142805483865,0.9601498736716146,-0.2794856348515654,0.35275208654905277,-0.9357168190405095,-0.536696193991523,-0.8437755598232349
2024-06-28,4.0,1312.6799999999998,0.0,0,1,Lazada,0.0,0,0.0,0.0,14.0,2.0,0.0,5.285714285714286,5.214285714285714,-1.0,0.0,0.0,0.9057022630804626,0.4239143907098796,0.7678804460366268,-0.6405931786981431,-0.25467112024122324,-0.9670277247913218,-0.9837979515735014,-0.1792807588108177
2024-06-29,3.0,996.72,0.0,0,0,Lazada,0.0,1,0.0,0.0,10.0,7.0,21.0,3.5714285714285716,4.5,-1.0,0.0,0.0,0.9732643737003782,0.2296877421318138,0.44709379298514745,-0.8944870822287788,-0.7678804460366369,-0.640593178698131,-0.7998392447397644,0.6002142805483082
2024-06-30,6.0,1747.57,0.0,0,1,Lazada,0.0,1,0.0,11.0,7.0,10.0,7.0,2.5714285714285716,4.0,-1.0,0.0,0.0,0.9996684675143127,0.025747913655005224,0.05147875477037984,-0.9986740898848288,-0.9970175264485271,-0.07717546212663955,-0.10282099713742675,0.9946998756145822
2024-07-01,7.0,2030.3899999999999,0.0,0,0,Lazada,0.0,0,6.0,0.0,5.0,10.0,7.0,1.8571428571428572,3.9285714285714284,-0.6127212834583644,0.16666666666666674,0.0,0.983797951573519,-0.1792807588107213,-0.3527520865490675,-0.935716819040504,-0.8573146280763548,0.5147928015097932,0.6601521206711879,0.7511319308705584
2024-07-02,4.0,1356.0,0.0,0,0,Lazada,0.0,0,0.0,0.0,16.0,0.0,20.0,2.2857142857142856,4.071428571428571,-0.6127212834583644,0.0,0.0,0.9263239682514997,-0.3767278936351735,-0.6979441547663257,-0.7161521883144107,-0.4004539056512488,0.9163169044870125,0.9996684675143118,0.025747913655038524
2024-07-03,17.0,5709.5,0.0,0,0,Lazada,0.0,0,0.0,0.0,0.0,0.0,21.0,2.4285714285714284,2.5,-0.6127212834583644,0.0,0.0,0.8296770135526247,-0.5582437220268561,-0.9263239682514871,-0.37672789363520437,0.20455206612617025,0.9788556850953642,0.6979441547663734,-0.7161521883143642
2024-07-04,11.0,3689.0,0.0,0,0,Lazada,0.0,0,0.0,7.0,0.0,15.0,0.0,4.0,2.9285714285714284,-1.0,0.0,0.0,0.6979441547663495,-0.7161521883143875,-0.9996684675143135,0.025747913654971925,0.7338853664322208,0.6792733388972697,-0.0514787547703133,-0.9986740898848322
2024-07-05,3.0,979.15,0.0,0,0,Lazada,0.0,0,11.0,0.0,4.0,0.0,0.0,4.571428571428571,3.7142857142857144,-0.9115252552633959,-0.7272727272727273,0.0,0.5366961939916057,-0.8437755598231823,-0.9057022630804767,0.4239143907098494,0.9917226741360992,0.12839835514656947,-0.7678804460365841,-0.6405931786981943
2024-07-06,3.0,815.77,0.0,0,0,Lazada,0.0,1,0.0,0.0,3.0,14.0,0.0,4.428571428571429,3.642857142857143,-0.9115252552633959,0.0,0.0,0.35275208654915186,-0.9357168190404721,-0.6601521206713233,0.7511319308704394,0.8826787983255265,-0.46997674302735926,-0.9917226741361328,0.128398355146309
2024-07-07,29.0,8315.54,0.0,1,0,Lazada,0.0,1,0.0,0.0,6.0,0.0,0.0,2.4285714285714284,3.642857142857143,-0.9115252552633959,0.0,0.0,0.1538905767040638,-0.9880878960910768,-0.3041148323275218,0.9526353808033813,0.4470937929851194,-0.8944870822287928,-0.5794210982045703,0.8150283375168066
2024-07-08,18.0,5825.27,0.0,0,0,Lazada,0.0,0,0.0,3.0,0.0,7.0,0.0,5.0,4.785714285714286,-1.0,0.0,0.0,-0.05147875477034657,-0.9986740898848305,0.10282099713736048,0.9946998756145891,-0.15389057670411807,-0.9880878960910684,0.20455206612620097,0.9788556850953578
2024-07-09,16.0,5099.68,0.0,0,0,Lazada,0.0,0,0.0,3.0,0.0,0.0,0.0,7.142857142857143,5.785714285714286,-1.0,0.0,0.0,-0.25467112024117583,-0.9670277247913343,0.49254806795376915,0.8702852410302091,-0.6979441547663481,-0.7161521883143889,0.8573146280762196,0.5147928015100184
2024-07-10,6.0,1770.41,0.0,0,0,Lazada,0.0,0,0.0,0.0,17.0,0.0,11.0,9.0,6.928571428571429,-1.0,0.0,0.0,-0.4470937929851177,-0.8944870822287937,0.7998392447397245,0.6002142805483615,-0.9837979515735288,-0.1792807588106673,0.9601498736715971,-0.27948563485162564
2024-07-11,7.0,2126.6,0.0,0,0,Lazada,0.0,0,0.0,0.0,11.0,0.0,9.0,5.714285714285714,6.142857142857143,-1.0,0.0,0.0,-0.6206094818274277,-0.7841198065767065,0.9732643737003854,0.22968774213178328,-0.9057022630804634,0.4239143907098778,0.4470937929850914,-0.8944870822288069
2024-07-12,9.0,3010.0,0.0,0,0,Lazada,0.0,0,7.0,18.0,3.0,11.0,20.0,6.714285714285714,5.857142857142857,-0.6461487820934828,0.2857142857142858,0.0,-0.767880446036569,-0.6405931786982124,0.9837979515735338,-0.17928075881064032,-0.4925480679539909,0.8702852410300836,-0.35275208654891343,-0.935716819040562
2024-07-13,13.0,4264.12,0.0,0,0,Lazada,0.0,1,0.0,16.0,3.0,4.0,2.0,5.428571428571429,6.285714285714286,-0.6461487820934828,0.0,0.0,-0.8826787983255523,-0.4699767430273108,0.8296770135526071,-0.5582437220268821,0.10282099713739168,0.9946998756145858,-0.9263239682515108,-0.37672789363514625
2024-07-14,6.0,1890.34,0.0,0,0,Lazada,0.0,1,0.0,0.0,29.0,0.0,0.0,4.142857142857143,7.0,-0.5281983761246437,0.0,0.0,-0.9601498736716053,-0.2794856348515974,0.5366961939915793,-0.8437755598231992,0.6601521206711319,0.7511319308706076,-0.9057022630804502,0.4239143907099062
2024-07-15,16.0,5443.38,0.0,0,1,Lazada,0.0,0,0.0,9.0,18.0,6.0,10.0,4.0,5.357142857142857,-1.0,0.0,0.0,-0.9970175264485234,-0.07717546212668841,0.15389057670414516,-0.9880878960910642,0.9732643737003664,0.2296877421318634,-0.30411483232767866,0.9526353808033312
2024-07-16,8.0,2298.86,0.0,0,0,Lazada,0.0,0,0.0,13.0,16.0,0.0,0.0,5.0,5.214285714285714,-1.0,0.0,0.0,-0.9917226741360994,0.12839835514656756,-0.25467112024126115,-0.9670277247913118,0.9263239682515403,-0.37672789363507364,0.4925480679539227,0.8702852410301222
2024-07-17,7.0,2237.38,0.0,0,0,Lazada,0.0,0,8.0,0.0,0.0,4.0,0.0,4.285714285714286,4.642857142857143,-0.6755812301169568,-0.125,0.0,-0.9444892287836737,0.3285423819107988,-0.6206094818273632,-0.7841198065767576,0.5366961939916487,-0.843775559823155,0.9732643737003476,0.2296877421319435
2024-07-18,17.0,5843.38,0.0,0,0,Lazada,0.0,0,0.0,0.0,7.0,17.0,0.0,9.428571428571429,7.214285714285714,0.8065264061181794,0.0,0.0,-0.8573146280763508,0.5147928015097999,-0.8826787983255137,-0.46997674302738346,-0.051478754770238916,-0.9986740898848361,0.8296770135526991,-0.5582437220267455
2024-07-19,13.0,4468.2,0.0,0,0,Lazada,0.0,0,17.0,16.0,9.0,0.0,0.0,11.857142857142858,7.928571428571429,0.5981531608052664,-0.23529411764705888,0.0,-0.7338853664321835,0.67927333889731,-0.9970175264485303,-0.07717546212660047,-0.6206094818273877,-0.7841198065767382,0.15389057670397085,-0.9880878960910913
2024-07-20,1.0,332.5,0.0,0,0,Lazada,0.0,1,0.0,7.0,0.0,0.0,2.0,10.285714285714286,7.285714285714286,0.7543773735943002,0.0,0.0,-0.5794210982045895,0.8150283375167929,-0.9444892287836821,0.3285423819107748,-0.9601498736715751,-0.2794856348517009,-0.6206094818273232,-0.7841198065767893
2024-07-21,7.0,2415.55,0.0,0,0,Lazada,0.0,1,0.0,0.0,6.0,0.0,0.0,4.428571428571429,7.357142857142857,-0.745113273482129,0.0,0.0,-0.4004539056512937,0.9163169044869929,-0.7338853664322394,0.6792733388972496,-0.9444892287836718,0.32854238191080437,-0.9970175264485175,-0.07717546212676461
2024-07-22,22.0,7114.87,0.0,0,0,Lazada,0.0,0,0.0,13.0,16.0,29.0,0.0,3.0,7.428571428571429,-1.0,0.0,0.0,-0.20455206612617216,0.9788556850953638,-0.40045390565121286,0.9163169044870282,-0.5794210982046311,0.8150283375167634,-0.7338853664321195,0.6792733388973791
2024-07-23,6.0,2989.0,0.0,0,0,Lazada,0.0,0,0.0,0.0,8.0,18.0,7.0,4.285714285714286,7.857142857142857,-1.0,0.0,0.0,-2.5477605267357653e-14,1.0,-5.0955210534715306e-14,1.0,-1.3327623466288098e-13,1.0,-1.0191042106943061e-13,1.0
2024-07-24,7.0,2338.12,0.0,0,0,Lazada,0.0,0,0.0,0.0,35.0,16.0,0.0,5.0,7.214285714285714,-1.0,0.0,0.0,0.20455206612617793,0.9788556850953626,0.40045390565122363,0.9163169044870235,0.5794210982045065,0.815028337516852,0.7338853664321355,0.6792733388973617
2024-07-25,14.0,4637.37,0.0,0,0,Lazada,0.0,0,0.0,0.0,17.0,6.0,0.0,5.0,5.214285714285714,-1.0,0.0,0.0,0.40045390565129907,0.9163169044869905,0.7338853664322474,0.679273338897241,0.9444892287836216,0.32854238191094876,0.9970175264485157,-0.0771754621267881
2024-07-26,5.0,1701.97,0.0,0,0,Lazada,0.0,0,0.0,0.0,0.0,7.0,0.0,3.857142857142857,4.071428571428571,-1.0,0.0,0.0,0.579421098204548,0.8150283375168225,0.9444892287836486,0.32854238191087104,0.9601498736716179,-0.27948563485155414,0.6206094818274831,-0.7841198065766627
2024-07-27,13.0,4392.5,0.0,0,0,Lazada,0.0,1,5.0,6.0,0.0,9.0,11.0,4.571428571428571,4.428571428571429,-0.3547918000904837,1.6,0.0,0.7338853664321875,0.6792733388973057,0.9970175264485293,-0.07717546212661221,0.6206094818275076,-0.7841198065766433,-0.15389057670399411,-0.9880878960910877
2024-07-28,3.0,1029.12,0.0,0,0,Lazada,0.0,1,0.0,7.0,0.0,13.0,4.0,5.571428571428571,5.285714285714286,-0.3547918000904837,0.0,0.0,0.8573146280763246,0.5147928015098436,0.8826787983255615,-0.46997674302729353,0.05147875477039158,-0.9986740898848282,-0.8296770135525854,-0.5582437220269146
2024-07-29,28.0,9234.13,0.0,0,0,Lazada,0.0,0,0.0,0.0,22.0,6.0,0.0,3.0,5.0,-0.13972240012064496,0.0,0.0,0.944489228783657,0.32854238191084695,0.6206094818274431,-0.7841198065766943,-0.5366961939915198,-0.843775559823237,-0.9732643737003944,0.22968774213174514
2024-07-30,22.0,7257.17,0.0,0,0,Lazada,0.0,0,28.0,5.0,0.0,0.0,0.0,7.0,5.428571428571429,-0.15831497985944948,-0.2142857142857143,0.0,0.9917226741361002,0.1283983551465617,0.25467112024124977,-0.9670277247913148,-0.9263239682514827,-0.37672789363521525,-0.4925480679539022,0.8702852410301338
2024-07-31,6.0,1968.1599999999999,0.0,0,1,Lazada,0.0,0,0.0,0.0,0.0,0.0,7.0,7.571428571428571,6.571428571428571,-0.7380309063586216,0.0,0.0,0.9970175264485274,-0.0771754621266376,-0.15389057670404446,-0.9880878960910798,-0.9732643737004016,0.2296877421317146,0.3041148323274845,0.9526353808033932
2024-08-01,8.0,3046.22,0.0,0,0,Lazada,0.0,0,0.0,0.0,0.0,7.0,4.0,8.0,6.5,-0.7380309063586216,0.0,0.0,0.9601498736716036,-0.27948563485160305,-0.5366961939915892,-0.8437755598231929,-0.6601521206712468,0.7511319308705067,0.9057022630804602,0.4239143907098849
2024-08-02,8.0,2742.65,0.0,0,0,Lazada,0.0,0,0.0,28.0,0.0,0.0,0.0,9.142857142857142,6.071428571428571,-0.8035231797689661,0.0,0.0,0.8826787983255495,-0.469976743027316,-0.8296770135526138,-0.5582437220268723,-0.10282099713743065,0.9946998756145818,0.9263239682515019,-0.37672789363516807
2024-08-03,11.0,3819.9,0.0,0,0,Lazada,0.0,1,0.0,0.0,13.0,13.0,0.0,3.142857142857143,6.285714285714286,-1.0,0.0,0.0,0.7678804460366017,-0.6405931786981732,-0.9837979515735155,-0.1792807588107406,0.49254806795375894,0.8702852410302149,0.35275208654910417,-0.9357168190404901
2024-08-04,11.0,3749.15,0.0,0,0,Lazada,0.0,1,0.0,0.0,3.0,0.0,3.0,3.857142857142857,6.142857142857143,-1.0,0.0,0.0,0.6206094818274231,-0.7841198065767102,-0.9732643737003827,0.22968774213179474,0.9057022630804469,0.4239143907099133,-0.4470937929851124,-0.8944870822287964
2024-08-05,26.0,8505.8,0.0,0,0,Lazada,0.0,0,0.0,0.0,0.0,0.0,3.0,4.285714285714286,6.714285714285714,-1.0,0.0,0.0,0.4470937929851124,-0.8944870822287964,-0.7998392447397173,0.6002142805483709,0.9837979515735359,-0.17928075881062877,-0.9601498736716036,-0.27948563485160305
2024-08-06,8.0,2705.9,0.0,0,0,Lazada,0.0,0,0.0,0.0,22.0,0.0,0.0,6.857142857142857,6.571428571428571,-1.0,0.0,0.0,0.2546711202412801,-0.9670277247913068,-0.4925480679539568,0.870285241030103,0.6979441547663762,-0.7161521883143616,-0.8573146280764417,0.5147928015096487
2024-08-07,13.0,4330.65,0.0,0,0,Lazada,0.0,0,0.0,0.0,6.0,0.0,0.0,6.428571428571429,5.571428571428571,-1.0,0.0,0.0,0.05147875477034069,-0.9986740898848309,-0.10282099713734875,0.9946998756145903,0.1538905767041568,-0.9880878960910624,-0.2045520661261779,0.9788556850953626
2024-08-08,60.0,18152.11,0.0,1,0,Lazada,0.0,0,0.0,0.0,8.0,0.0,0.0,6.714285714285714,6.071428571428571,-1.0,0.0,0.0,-0.15389057670406964,-0.988087896091076,0.304114832327533,0.9526353808033777,-0.4470937929850844,-0.8944870822288103,0.5794210982045895,0.8150283375167929
